                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.15874,                0.51018,                0.99972,                      1,                0.59718,                0.59801,                0.56485,                0.32051,                 1.5339,                0.40573,             0.00093385,             0.00093385,             0.00093385
                     37,                0.14758,                0.50303,                0.98238,                      1,                0.58933,                0.59783,                0.56467,                0.29209,                  2.227,                0.40817,              0.0009197,              0.0009197,              0.0009197
                     38,                0.15328,                0.50044,                  0.961,                0.95868,                      1,                  0.995,                0.93918,                0.32181,                 2.3392,                0.42338,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.1448,                0.47477,                0.96136,                      1,                0.59997,                 0.5977,                0.56453,                  0.339,                 1.7274,                0.43036,             0.00089141,             0.00089141,             0.00089141
                     40,                0.14253,                0.46781,                0.95744,                 0.9812,                    0.6,                0.59744,                0.54436,                 0.3372,                 1.1469,                0.41653,             0.00087726,             0.00087726,             0.00087726
                     41,                0.14083,                 0.4784,                 0.9721,                0.98774,                    0.8,                0.79624,                0.73655,                0.29478,                0.91747,                0.37894,             0.00086312,             0.00086312,             0.00086312
                     42,                0.13707,                0.45185,                 0.9769,                0.98491,                    0.6,                0.59737,                0.53763,                0.28837,                 1.0672,                 0.3684,             0.00084897,             0.00084897,             0.00084897
                     43,                0.13922,                0.44943,                0.95587,                 0.9956,                      1,                  0.995,                0.89951,                0.28484,                 1.8063,                 0.3759,             0.00083482,             0.00083482,             0.00083482
                     44,                0.13235,                0.45246,                 0.9488,                      1,                0.39855,                0.79619,                0.74308,                0.28444,                 4.5764,                0.38002,             0.00082067,             0.00082067,             0.00082067
                     45,                0.13739,                0.44747,                0.94715,                      1,                0.45334,                0.59722,                 0.5375,                0.31222,                 3.9592,                0.39797,             0.00080653,             0.00080653,             0.00080653
                     46,                0.13752,                0.44319,                0.95271,                      1,                0.38674,                0.39821,                0.35839,                0.36902,                 2.6484,                0.42271,             0.00079238,             0.00079238,             0.00079238
                     47,                0.12804,                0.45235,                0.96734,                0.97912,                    0.4,                0.39843,                0.36856,                0.32915,                  1.384,                0.39208,             0.00077823,             0.00077823,             0.00077823
                     48,                0.12741,                0.43997,                0.94808,                0.96453,                    0.4,                0.39805,                 0.3682,                0.29297,                 2.1963,                0.35518,             0.00076409,             0.00076409,             0.00076409
                     49,                0.11925,                0.44404,                0.94957,                0.91639,                    0.4,                0.39789,                0.37779,                0.30583,                 3.0004,                0.35397,             0.00074994,             0.00074994,             0.00074994
                     50,                0.12318,                 0.3756,                0.96242,                0.89227,                    0.4,                0.39764,                0.37755,                0.27803,                 3.4236,                0.34832,             0.00073579,             0.00073579,             0.00073579
                     51,                0.12852,                0.43351,                0.95746,                0.82735,                    0.2,                0.19824,                0.19824,                  0.251,                 3.4197,                0.33749,             0.00072164,             0.00072164,             0.00072164
                     52,                0.12242,                0.44437,                0.93394,                0.89359,                    0.4,                0.39802,                0.37792,                 0.2706,                 3.7198,                0.33855,              0.0007075,              0.0007075,              0.0007075
                     53,                0.12525,                0.41413,                  0.951,                0.88037,                    0.4,                0.39837,                0.35853,                0.28597,                 3.9274,                0.35787,             0.00069335,             0.00069335,             0.00069335
                     54,                0.11808,                0.41507,                0.94305,                0.83436,                    0.2,                0.19893,                0.17904,                0.31176,                 3.1316,                0.37828,              0.0006792,              0.0006792,              0.0006792
                     55,                0.11515,                0.39287,                0.93397,                      1,                0.38988,                0.39851,                0.39851,                0.32015,                 2.4442,                0.38887,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.1214,                 0.4391,                0.93393,                      1,                0.38654,                0.39889,                  0.369,                0.32361,                 3.2494,                0.37374,             0.00065091,             0.00065091,             0.00065091
                     57,                  0.121,                0.41476,                0.96396,                      1,                0.38881,                0.39874,                0.35887,                0.34243,                 4.0917,                0.38016,             0.00063676,             0.00063676,             0.00063676
                     58,                 0.1166,                0.47195,                0.95022,                 0.9769,                    0.4,                0.39863,                0.35877,                0.34626,                 3.8203,                0.37927,             0.00062262,             0.00062262,             0.00062262
